HWND: 0x406c6, Parent: 0xc084c, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0xc084c, Parent: 0x450892, Class: IME, Title: Default IME
HWND: 0x30986, Parent: 0x40968, Class: IME, Title: Default IME
HWND: 0x90822, Parent: 0x209f6, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0x209f6, Parent: 0xa0806, Class: IME, Title: Default IME
HWND: 0x5b00c4, Parent: 0x6a0784, Class: IME, Title: Default IME
HWND: 0x15e0840, Parent: 0x1080240, Class: IME, Title: Default IME
HWND: 0x11e0416, Parent: 0xf403e8, Class: IME, Title: Default IME
HWND: 0x10434, Parent: 0x1041a, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0x1041a, Parent: 0x2025c, Class: IME, Title: Default IME
HWND: 0x5062e, Parent: 0x0, Class: CiceroUIWndFrame, Title: CiceroUIWndFrame
HWND: 0x70858, Parent: 0x160850, Class: IME, Title: Default IME
HWND: 0x127079e, Parent: 0x3a079c, Class: IME, Title: Default IME
HWND: 0x86093c, Parent: 0x7508b6, Class: IME, Title: Default IME
HWND: 0x3a07b8, Parent: 0x86061a, Class: IME, Title: Default IME
HWND: 0x302d4, Parent: 0x10716, Class: MSCTFIME UI, Title: MSCTFIME UI
HWND: 0x10716, Parent: 0x1071e, Class: IME, Title: Default IME
HWND: 0x2044e, Parent: 0x2045a, Class: IME, Title: Default IME
HWND: 0x108a2, Parent: 0x108a0, Class: IME, Title: Default IME
HWND: 0x10802, Parent: 0x107fc, Class: IME, Title: Default IME
HWND: 0x10804, Parent: 0x107fe, Class: IME, Title: Default IME
HWND: 0x10800, Parent: 0x207fa, Class: IME, Title: Default IME
HWND: 0x107ea, Parent: 0x107e8, Class: IME, Title: Default IME
HWND: 0x107e0, Parent: 0x107de, Class: IME, Title: Default IME
HWND: 0x701ec, Parent: 0x8033c, Class: IME, Title: Default IME
HWND: 0x2027a, Parent: 0x30028, Class: IME, Title: Default IME
HWND: 0x20238, Parent: 0x3023e, Class: IME, Title: Default IME
HWND: 0x20234, Parent: 0x20232, Class: IME, Title: Default IME
